timestamp,number
0.20517635345458984,0.0
5.414393901824951,0.0
10.60802698135376,0.0
15.812853336334229,0.0
21.010138034820557,0.0
26.207926511764526,0.01
31.41205930709839,0.02
36.61536741256714,0.04
41.80761098861694,0.06
47.00727581977844,0.08
52.20733690261841,0.11
57.4139199256897,0.14
62.623276472091675,0.16
67.83475971221924,0.17
73.03280282020569,0.18
78.23798489570618,0.19
83.43086457252502,0.2
88.63224339485168,0.22
93.83158564567566,0.25
99.03492784500122,0.28
104.23655295372009,0.31
109.43943428993225,0.34
114.63253355026245,0.38
119.82774686813354,0.42
125.02737402915955,0.45
130.2358057498932,0.48
135.43451523780823,0.52
140.63134002685547,0.55
145.83158779144287,0.58
151.0322573184967,0.6
156.2325475215912,0.61
161.43781566619873,0.63
166.65357494354248,0.65
171.850115776062,0.68
177.0495400428772,0.71
182.24514317512512,0.74
187.45994591712952,0.78
192.66519737243652,0.81
197.86845421791077,0.85
203.0617594718933,0.89
208.26642155647278,0.93
213.46778082847595,0.97
218.66458296775818,1.01
223.86879324913025,1.05
229.0671272277832,1.09
234.268620967865,1.13
239.46781253814697,1.17
244.663978099823,1.21
249.86650705337524,1.25
255.06386303901672,1.28
260.2651422023773,1.32
265.4700117111206,1.55
270.66588497161865,1.39
275.8649003505707,1.43
281.0696642398834,1.48
286.2685215473175,1.52
291.4679071903229,1.55
296.66745710372925,1.59
301.86263394355774,1.63
307.0732750892639,1.68
312.2817008495331,1.72
317.4837267398834,1.76
322.6814546585083,1.79
327.8832309246063,1.84
333.0800988674164,1.87
338.28165078163147,1.91
343.48561334609985,1.95
348.68509817123413,1.99
353.88387966156006,2.03
359.07990622520447,2.07
364.27771973609924,2.11
369.4841024875641,2.15
374.6793930530548,2.19
379.8814797401428,2.23
385.0825877189636,2.28
390.28268909454346,2.32
395.4813632965088,
400.67818093299866,2.41
405.88227462768555,2.45
411.08206391334534,2.5
416.28038001060486,2.54
421.52775740623474,2.58
426.7632818222046,2.62
431.96249771118164,2.66
437.161990404129,
442.36270451545715,2.76
447.5671498775482,2.8
452.76288175582886,2.85
457.96444177627563,2.88
463.1627233028412,2.93
468.3650801181793,2.98
473.5674693584442,3.02
478.7632119655609,3.06
483.9610733985901,3.08
489.1646327972412,3.08
494.36374068260193,3.08
499.5608847141266,
504.75401043891907,
509.9541964530945,
